Reference	C1	C2	C3	IR1	IR2	IR3
ENST00000256255	2.0	2.0	5.0	2.0	0.0	3.0
ENST00000353411	2.0	1.0	1.0	0.0	0.0	0.0
ENST00000262213	2.0	1.0	0.0	0.0	1.0	0.0
ENST00000303127	2.0	0.0	0.0	1.0	1.0	0.0
ENST00000369124	2.0	1.0	0.0	0.0	1.0	0.0
ENST00000397261	2.0	2.0	1.0	2.0	2.0	0.0
ENST00000297290	2.0	1.0	1.0	1.0	0.0	2.0
ENST00000216225	2.0	1.0	1.0	0.0	0.0	2.0
ENST00000526104	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000441246	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000361157	2.0	2.0	1.0	0.0	0.0	2.0
ENST00000309340	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000503008	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000521389	2.0	0.0	1.0	2.0	0.0	1.0
ENST00000355257	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000372330	2.0	0.0	4.0	1.0	0.0	1.0
ENST00000420826	2.0	4.0	1.0	1.0	1.0	0.0
ENST00000263774	2.0	0.0	0.0	0.0	0.0	1.0
ENST00000332858	2.0	0.0	0.0	1.0	1.0	0.0
ENST00000483815	2.0	0.0	1.0	0.0	0.0	0.0
ENST00000591325	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000221561	2.0	4.0	2.0	0.0	0.0	1.0
ENST00000616787	2.0	0.0	1.0	0.0	0.0	0.0
ENST00000228945	2.0	3.0	2.0	5.0	6.0	1.0
ENST00000304786	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000415949	2.0	2.0	0.0	0.0	0.0	0.0
ENST00000378588	2.0	1.0	1.0	0.0	2.0	0.0
ENST00000262056	2.0	2.0	3.0	1.0	0.0	0.0
ENST00000560869	2.0	0.0	0.0	0.0	1.0	2.0
ENST00000409817	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000498603	2.0	1.0	0.0	0.0	1.0	0.0
ENST00000374514	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000240123	2.0	0.0	0.0	0.0	1.0	0.0
ENST00000300688	2.0	0.0	1.0	0.0	1.0	0.0
ENST00000301587	2.0	0.0	3.0	0.0	0.0	2.0
ENST00000529704	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000632587	2.0	0.0	0.0	0.0	2.0	2.0
ENST00000358232	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000307677	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000477096	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000456258	2.0	0.0	1.0	0.0	0.0	0.0
ENST00000492588	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000216190	2.0	0.0	0.0	1.0	0.0	1.0
ENST00000564546	2.0	3.0	0.0	0.0	0.0	2.0
ENST00000476279	2.0	0.0	1.0	0.0	0.0	1.0
ENST00000551589	2.0	0.0	0.0	0.0	0.0	1.0
ENST00000228740	2.0	0.0	0.0	0.0	1.0	1.0
ENST00000418115	2.0	5.0	1.0	1.0	1.0	1.0
ENST00000309955	2.0	0.0	1.0	0.0	0.0	1.0
ENST00000304043	2.0	0.0	4.0	2.0	1.0	3.0
ENST00000393081	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000221978	2.0	2.0	2.0	1.0	2.0	2.0
ENST00000373316	2.0	1.0	0.0	0.0	0.0	0.0
ENST00000489459	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000220849	2.0	1.0	2.0	1.0	0.0	2.0
ENST00000330133	2.0	1.0	0.0	0.0	0.0	0.0
ENST00000382456	2.0	0.0	0.0	1.0	0.0	1.0
ENST00000215912	2.0	0.0	0.0	2.0	1.0	1.0
ENST00000554465	2.0	1.0	0.0	1.0	0.0	0.0
ENST00000246554	2.0	1.0	1.0	1.0	2.0	1.0
ENST00000319788	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000312579	2.0	1.0	0.0	0.0	1.0	0.0
ENST00000509578	2.0	0.0	0.0	0.0	1.0	0.0
ENST00000588234	2.0	2.0	0.0	0.0	0.0	1.0
ENST00000376925	2.0	1.0	0.0	0.0	1.0	2.0
ENST00000519374	2.0	1.0	2.0	2.0	3.0	2.0
ENST00000399959	2.0	2.0	1.0	0.0	0.0	0.0
ENST00000343534	2.0	0.0	0.0	0.0	1.0	0.0
ENST00000256015	2.0	0.0	4.0	0.0	0.0	2.0
ENST00000262507	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000389805	2.0	2.0	0.0	3.0	1.0	2.0
ENST00000620173	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000423083	2.0	0.0	2.0	0.0	0.0	0.0
ENST00000308683	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000250495	2.0	0.0	3.0	0.0	0.0	0.0
ENST00000319006	2.0	1.0	2.0	1.0	0.0	1.0
ENST00000359171	2.0	0.0	0.0	0.0	0.0	1.0
ENST00000261182	2.0	0.0	0.0	0.0	1.0	0.0
ENST00000317615	2.0	1.0	0.0	0.0	0.0	0.0
ENST00000596148	2.0	0.0	2.0	0.0	0.0	0.0
ENST00000400137	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000270221	2.0	0.0	2.0	2.0	1.0	0.0
ENST00000369478	2.0	2.0	0.0	1.0	3.0	1.0
ENST00000529272	2.0	0.0	0.0	0.0	2.0	2.0
ENST00000380739	2.0	1.0	0.0	1.0	1.0	1.0
ENST00000395957	2.0	2.0	2.0	1.0	3.0	2.0
ENST00000439696	2.0	1.0	0.0	0.0	0.0	0.0
ENST00000372839	2.0	0.0	0.0	1.0	0.0	1.0
ENST00000329047	2.0	0.0	3.0	0.0	3.0	0.0
ENST00000392557	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000377811	2.0	0.0	1.0	0.0	0.0	0.0
ENST00000613852	2.0	0.0	0.0	0.0	0.0	1.0
ENST00000358435	2.0	4.0	6.0	1.0	2.0	4.0
ENST00000293373	2.0	1.0	1.0	1.0	0.0	0.0
ENST00000313486	2.0	0.0	0.0	1.0	0.0	0.0
ENST00000401722	2.0	0.0	2.0	0.0	2.0	2.0
ENST00000481445	2.0	1.0	0.0	0.0	1.0	2.0
ENST00000409185	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000306072	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000479928	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000415385	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000622257	1.0	2.0	0.0	1.0	0.0	2.0
ENST00000441259	1.0	0.0	2.0	1.0	0.0	0.0
ENST00000509910	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000487245	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000265062	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000260356	1.0	1.0	2.0	0.0	2.0	1.0
ENST00000394701	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000564558	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000374737	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000593829	1.0	2.0	0.0	0.0	0.0	2.0
ENST00000394224	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000447654	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000621800	1.0	0.0	2.0	0.0	0.0	0.0
ENST00000222305	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000393033	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000225308	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000592062	1.0	1.0	0.0	0.0	0.0	0.0
ENST00000246868	1.0	0.0	1.0	0.0	1.0	0.0
ENST00000342933	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000292211	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000331006	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000369110	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000305352	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000340807	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000373242	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000286301	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000544301	1.0	1.0	5.0	3.0	3.0	2.0
ENST00000536578	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000532542	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000222553	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000250559	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000222008	1.0	1.0	1.0	1.0	1.0	2.0
ENST00000217315	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000299163	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000537345	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000331803	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000539068	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000367660	1.0	0.0	1.0	1.0	0.0	0.0
ENST00000431930	1.0	1.0	2.0	3.0	2.0	3.0
ENST00000366609	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000521086	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000541124	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000371419	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000361735	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000436190	1.0	1.0	0.0	0.0	0.0	0.0
ENST00000397708	1.0	0.0	0.0	0.0	1.0	1.0
ENST00000273308	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000476324	1.0	0.0	0.0	2.0	0.0	0.0
ENST00000369329	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000595840	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000240304	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000345094	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000613507	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000326005	1.0	0.0	0.0	0.0	2.0	0.0
ENST00000345365	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000046794	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000253108	1.0	1.0	0.0	2.0	0.0	1.0
ENST00000493678	1.0	1.0	1.0	0.0	1.0	3.0
ENST00000250092	1.0	2.0	4.0	1.0	2.0	1.0
ENST00000368811	1.0	2.0	2.0	3.0	2.0	1.0
ENST00000439705	1.0	0.0	0.0	0.0	1.0	0.0
ENST00000526683	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000223293	1.0	0.0	1.0	0.0	0.0	2.0
ENST00000577396	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000278193	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000396526	1.0	1.0	0.0	0.0	1.0	0.0
ENST00000307194	1.0	0.0	2.0	0.0	0.0	1.0
ENST00000453424	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000344877	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000617770	1.0	2.0	1.0	2.0	0.0	0.0
ENST00000622390	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000264896	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000566423	1.0	1.0	0.0	0.0	0.0	0.0
ENST00000394670	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000267205	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000259089	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000320316	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000605895	1.0	0.0	1.0	0.0	0.0	0.0
ENST00000216133	1.0	1.0	0.0	0.0	0.0	1.0
ENST00000532297	1.0	1.0	0.0	0.0	0.0	0.0
ENST00000374316	1.0	1.0	0.0	0.0	0.0	0.0
ENST00000263168	1.0	1.0	0.0	0.0	0.0	0.0
